,PC1,PC2,PC3,PC4
content-enjoyment,0.5551121870311839,0.30901047447045055,0.6634544273855362,-0.39521033546648726
content-usefulness,0.5608976809811851,-0.38559292313088167,0.13879088386658966,0.7193392660329625
production-complexity,0.22560620414058816,0.8325261017003159,-0.37264811455086766,0.34225065867377585
production-quality,0.5712670933395863,-0.2504614027881417,-0.633797046427123,-0.4574104258988767
