file,mode,brand,exclude_flag,content-enjoyment,content-usefulness,production-complexity,production-quality,PC1,PC2,PC3,PC4
lineare_a2a.wav,lineare,a2a,0,7.297025680541992,7.631387233734131,7.103477954864502,8.231107711791992,3.3327550662216217,0.17816395126401027,0.26754145560599224,0.2399202065289095
lineare_ace.wav,lineare,ace,0,5.886321067810059,6.453404426574707,4.109527587890625,7.966639041900635,-0.001981465419021446,-1.9224742037179547,-0.3024197954056721,-0.09117627263094162
lineare_fiorentini.wav,lineare,fiorentini,0,7.197010517120361,7.041037559509277,6.49030065536499,8.217696189880371,2.7012644800081738,-0.014365114060948647,0.25364461252519616,-0.3280475745089713
lineare_garofalo.wav,lineare,garofalo,0,6.11377477645874,4.88062858581543,6.430487632751465,7.392757892608643,-1.4414751304147102,0.9447609541236137,0.23356443666347582,-0.0923768938429682
lineare_hai-assicurazione.wav,lineare,hai-assicurazione,0,5.740926742553711,6.3439764976501465,1.9186794757843018,7.670848369598389,-1.1809651307836833,-3.1813591183702816,0.7609869309727351,-0.22977911276407173
lineare_postepay.wav,lineare,postepay,0,6.809983730316162,6.938411235809326,6.849662780761719,7.8923234939575195,1.6717556913696396,0.30593624554930615,0.30486489228455604,0.46965344447087015
lineare_seresto.wav,lineare,seresto,0,5.3464765548706055,4.627345561981201,6.410861015319824,7.691172122955322,-1.8824085879948496,0.33928281536245636,-1.4126358778249848,-0.16731182025918176
lineare_suzuki.wav,lineare,suzuki,0,5.964486598968506,4.844993591308594,6.514188766479492,7.198999881744385,-1.9736398209414747,1.0858371925250816,0.41206324669332495,0.30581683667756887
playlist_bernina.mp3,playlist,bernina,0,6.759500980377197,5.2218732833862305,6.496495246887207,7.747781276702881,0.15673957705693436,0.9323472756491914,0.3666352487693064,-0.8160711752982511
playlist_citroen.mp3,playlist,citroen,0,5.785449981689453,6.332826614379883,5.257134437561035,7.861231327056885,-0.17963854655416897,-1.075792299452915,-0.5766375254085045,0.3580651219242372
playlist_melinda.mp3,playlist,melinda,1,6.2286224365234375,6.0477728843688965,6.500405311584473,7.87640905380249,0.3659467875677657,0.13747306388946767,-0.4534731951984713,0.09577609540692995
playlist_natural-trainer.mp3,playlist,natural-trainer,1,6.344067096710205,5.609169006347656,6.538503646850586,7.953866958618164,0.35485855857463305,0.3666597484027083,-0.5476774234537631,-0.46767182408607133
playlist_parmareggio.mp3,playlist,parmareggio,1,6.677727222442627,5.640616416931152,6.699841499328613,7.807872772216797,0.4922695073652516,0.7808186420354346,0.14340292302270558,-0.43502035128583766
playlist_repower.mp3,playlist,repower,0,6.305099964141846,5.67633056640625,6.908420562744141,7.500103950500488,-0.42527351056430357,0.9322413952106152,0.2442242673424279,0.4002076996146189
playlist_tenderly.mp3,playlist,tenderly,0,5.872531890869141,4.677936553955078,5.47174072265625,7.0749592781066895,-2.6034274688670354,0.5112853367748131,0.835288227466104,0.13563146601035236
playlist_valfrutta.mp3,playlist,valfrutta,1,6.01584529876709,6.011967182159424,5.741120338439941,7.711376190185547,-0.33381237568904126,-0.3462206086529051,-0.16463319739990714,0.26818274875080983
playlist_yakult.mp3,playlist,yakult,1,6.354248523712158,6.532869338989258,6.616539478302002,7.933069229125977,0.9470323690642684,0.025404723468306134,-0.36473922665452224,0.3542014052919987
