brand,condition,mode,exclude_flag,content-enjoyment,content-usefulness,production-complexity,production-quality,is-demanding,is-playlist,is-invented-brand,PC1,PC2,PC3,PC4,unaided,aided
melinda,relaxed,playlist,1,6.2286224365234375,6.0477728843688965,6.500405311584473,7.87640905380249,0,1,0,0.3659467875677657,0.13747306388946767,-0.4534731951984713,0.09577609540692995,0.075,0.2
natural-trainer,demanding,playlist,1,6.344067096710205,5.609169006347656,6.538503646850586,7.953866958618164,1,1,0,0.35485855857463305,0.3666597484027083,-0.5476774234537631,-0.46767182408607133,0.027777777777777776,0.05555555555555555
natural-trainer,relaxed,playlist,1,6.344067096710205,5.609169006347656,6.538503646850586,7.953866958618164,0,1,0,0.35485855857463305,0.3666597484027083,-0.5476774234537631,-0.46767182408607133,0.05,0.05
parmareggio,demanding,playlist,1,6.677727222442627,5.640616416931152,6.699841499328613,7.807872772216797,1,1,0,0.4922695073652516,0.7808186420354346,0.14340292302270558,-0.43502035128583766,0.0,0.0
parmareggio,relaxed,playlist,1,6.677727222442627,5.640616416931152,6.699841499328613,7.807872772216797,0,1,0,0.4922695073652516,0.7808186420354346,0.14340292302270558,-0.43502035128583766,0.0,0.075
postepay,demanding,linear,0,6.809983730316162,6.938411235809326,6.849662780761719,7.8923234939575195,1,0,0,1.6717556913696396,0.30593624554930615,0.30486489228455604,0.46965344447087015,0.075,0.075
postepay,relaxed,linear,0,6.809983730316162,6.938411235809326,6.849662780761719,7.8923234939575195,0,0,0,1.6717556913696396,0.30593624554930615,0.30486489228455604,0.46965344447087015,0.02857142857142857,0.02857142857142857
repower,demanding,playlist,0,6.305099964141846,5.67633056640625,6.908420562744141,7.500103950500488,1,1,0,-0.42527351056430357,0.9322413952106152,0.2442242673424279,0.4002076996146189,0.0,0.027777777777777776
repower,relaxed,playlist,0,6.305099964141846,5.67633056640625,6.908420562744141,7.500103950500488,0,1,0,-0.42527351056430357,0.9322413952106152,0.2442242673424279,0.4002076996146189,0.05,0.125
seresto,demanding,linear,0,5.3464765548706055,4.627345561981201,6.410861015319824,7.691172122955322,1,0,0,-1.8824085879948496,0.33928281536245636,-1.4126358778249848,-0.16731182025918176,0.05,0.125
seresto,relaxed,linear,0,5.3464765548706055,4.627345561981201,6.410861015319824,7.691172122955322,0,0,0,-1.8824085879948496,0.33928281536245636,-1.4126358778249848,-0.16731182025918176,0.11428571428571428,0.2
suzuki,demanding,linear,0,5.964486598968506,4.844993591308594,6.514188766479492,7.198999881744385,1,0,0,-1.9736398209414747,1.0858371925250816,0.41206324669332495,0.30581683667756887,0.025,0.05
suzuki,relaxed,linear,0,5.964486598968506,4.844993591308594,6.514188766479492,7.198999881744385,0,0,0,-1.9736398209414747,1.0858371925250816,0.41206324669332495,0.30581683667756887,0.08571428571428572,0.14285714285714285
tenderly,demanding,playlist,0,5.872531890869141,4.677936553955078,5.47174072265625,7.0749592781066895,1,1,0,-2.6034274688670354,0.5112853367748131,0.835288227466104,0.13563146601035236,0.0,0.027777777777777776
tenderly,relaxed,playlist,0,5.872531890869141,4.677936553955078,5.47174072265625,7.0749592781066895,0,1,0,-2.6034274688670354,0.5112853367748131,0.835288227466104,0.13563146601035236,0.0,0.075
valfrutta,demanding,playlist,1,6.01584529876709,6.011967182159424,5.741120338439941,7.711376190185547,1,1,0,-0.33381237568904126,-0.3462206086529051,-0.16463319739990714,0.26818274875080983,0.0,0.05555555555555555
valfrutta,relaxed,playlist,1,6.01584529876709,6.011967182159424,5.741120338439941,7.711376190185547,0,1,0,-0.33381237568904126,-0.3462206086529051,-0.16463319739990714,0.26818274875080983,0.0,0.0
yakult,demanding,playlist,1,6.354248523712158,6.532869338989258,6.616539478302002,7.933069229125977,1,1,0,0.9470323690642684,0.025404723468306134,-0.36473922665452224,0.3542014052919987,0.027777777777777776,0.027777777777777776
yakult,relaxed,playlist,1,6.354248523712158,6.532869338989258,6.616539478302002,7.933069229125977,0,1,0,0.9470323690642684,0.025404723468306134,-0.36473922665452224,0.3542014052919987,0.025,0.025
